	Common Settings,	
	.源输出/扫描点数,	100
	.重复次数,	0
	.测量延迟,	0.5
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压偏压
	...量程,	自动
	...偏置值,	0
	...限值,	0.5
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-10
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False
	.,	
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	最佳适配
	...开始,	0
	...停止,	5
	...步进,	0.0505050505050505
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	0.1
	...电阻,	False
	...功率,	False
	...自动归零,	一次
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"61","31.202367","1.67369853443233E-05","0.161614894866943"
"62","31.722407","1.2540817806439E-05","0.161576092243195"
"63","32.242446","1.88827525562374E-05","0.161654770374298"
"64","32.762485","1.81674968189327E-05","0.161551773548126"
"65","33.282524","2.00271606445313E-05","0.161606311798096"
"66","33.802564","2.40802764892578E-05","0.16166764497757"
"67","34.322604","2.45332721533487E-05","0.16152012348175"
"68","34.842643","2.4151802790584E-05","0.161716997623444"
"69","35.362683","1.86681754712481E-05","0.161583423614502"
"70","35.882722","1.86443339771358E-05","0.161781191825867"
"71","36.402761","1.81198120117188E-05","0.161614000797272"
"72","36.922801","1.77383426489541E-05","0.161573767662048"
"73","37.442841","1.61647803906817E-05","0.161742925643921"
"74","37.962881","1.20162967505166E-05","0.161616325378418"
"75","38.482921","1.76429748535156E-05","0.161553561687469"
"76","39.002961","1.59025203174679E-05","0.16152960062027"
"77","39.523001","2.22444541577715E-05","0.161437690258026"
"78","40.043041","2.75850306934444E-05","0.16155070066452"
"79","40.56308","2.93493267236045E-05","0.161457717418671"
"80","41.083119","2.32458114624023E-05","0.161523878574371"
"81","41.603159","2.50339508056641E-05","0.161711275577545"
"82","42.123199","2.16245662159054E-05","0.161541223526001"
"83","42.643238","2.20775600610068E-05","0.161550343036652"
"84","43.163278","1.93357464013388E-05","0.161496698856354"
"85","43.683317","2.32458114624023E-05","0.161587715148926"
"86","44.203357","1.86204906640342E-05","0.161454856395721"
"87","44.723396","1.69277191162109E-05","0.161498129367828"
"88","45.243435","1.84297568921465E-05","0.161510109901428"
"89","45.763474","2.0003319150419E-05","0.161524951457977"
"90","46.283513","2.51770015893271E-05","0.161497592926025"
"91","46.803552","2.35795978369424E-05","0.161703050136566"
"92","47.323591","2.28405006055254E-05","0.16160774230957"
"93","47.84363","2.26497650146484E-05","0.16153872013092"
"94","48.363669","1.53541568579385E-05","0.161393165588379"
"95","48.883709","1.56879432324786E-05","0.161483287811279"
"96","49.403748","2.03847885131836E-05","0.161253154277802"
"97","49.923788","1.90019618457882E-05","0.161246538162231"
"98","50.443827","1.91688541235635E-05","0.161401212215424"
"99","50.963867","2.05755241040606E-05","0.161414623260498"
"100","51.483907","1.85489661816973E-05","0.161469340324402"
